Name,Diversity,Acceptance
Pomona College,A+,0.1
California College of the Arts,A+,0.69
Lynn University,A+,0.82
Hawaii Pacific University,A+,0.91
Swarthmore College,A+,0.12
Amherst College,A+,0.14
University of San Francisco,A+,0.64
Andrews University,A+,0.39
Brandeis University,A+,0.34
New York University,A+,0.32
Stanford University,A+,0.05
University of Miami,A+,0.38
Yale University,A+,0.07
Massachusetts Institute of Technology,A+,0.08
Bryn Mawr College,A+,0.39
Columbia University,A+,0.07
Emory University,A+,0.24
Menlo College,A+,0.38
University of Southern California,A+,0.17
Brown University,A+,0.09
The New School,A+,0.6
Suffolk University,A,0.82
Carnegie Mellon University,A,0.24
Babson College,A,0.26
Maryland Institute College of Art,A,0.47
University of Chicago,A,0.08
Princeton University,A,0.07
Harvey Mudd College,A,0.13
University of Washington,A,0.53
Northeastern University,A,0.28
Boston University,A,0.33
Nyack College,A,0.99
Pace University,A,0.84
Rhode Island School of Design,A,0.37
Harvard University,A,0.06
Rice University,A,0.16
Wesleyan University,A,0.22
Berklee College of Music,A,0.29
Earlham College,A,0.62
Barry University,A,0.55
Kendall College,A,0.74
Pitzer College,A,0.13
Nova Southeastern University,A,0.59
Chaminade University of Honolulu,A,0.82
Clark University,A,0.57
Otis College of Art & Design,A,0.9
Grinnell College,A,0.25
Rutgers University,A,0.58
Pacific Union College,A,0.45
Washington Adventist University,A,0.33
Woodbury University,A,0.58
George Mason University,A,0.69
Occidental College,A,0.45
St. John's University - New York,A,0.65
University of California - Berkeley,A,0.17
University of Rochester,A,0.34
University of Pennsylvania,A,0.1
University of California - Los Angeles,A,0.17
Cornell University,A,0.15
Texas Wesleyan University,A,0.46
Claremont McKenna College,A,0.11
Fashion Institute of Technology,A,0.41
Georgetown University,A,0.17
University of Bridgeport,A,0.52
School of the Art Institute of Chicago,A,0.66
Northwestern University,A,0.13
"Stony Brook University, SUNY",A,0.41
Johnson & Wales University - North Miami,A,0.76
University of Hawaii at Manoa,A,0.81
Florida Institute of Technology,A,0.57
Johns Hopkins University,A,0.14
Williams College,A,0.18
Drexel University,A,0.75
Fashion Institute of Design & Merchandising - Los Angeles,A,0.49
Bard College,A,0.32
Case Western Reserve University,A,0.36
School of Visual Arts,A,0.75
Saint Leo University,A,0.73
Gallaudet University,A,0.62
Art Center College of Design,A,0.8
New England College,A,0.98
Rutgers University - Newark,A,0.65
San Diego State University,A,0.34
Purdue University Northwest - Calumet,A,0.65
Savannah College of Art & Design,A,0.7
Massachusetts College of Pharmacy & Health Sciences,A,0.87
George Washington University,A,0.46
Middlebury College,A,0.17
Tufts University,A,0.16
Wellesley College,A,0.28
Arizona State University,A,0.83
University of the Pacific,A,0.65
Whittier College,A,0.63
Vassar College,A,0.26
Mount Holyoke College,A,0.5
The Culinary Institute of America,A,0.92
Vanderbilt University,A,0.12
University of Maryland - Baltimore County,A,0.59
Knox College,A,0.64
Marymount University,A,0.68
Penn State Abington,A,0.82
St. Thomas University - Florida,A,0.49
Grand Canyon University,A,0.43
University of California - San Diego,A,0.34
Portland State University,A,0.86
Florida Atlantic University,A,0.68
Dartmouth College,A,0.11
Haverford College,A,0.25
Franklin & Marshall College,A,0.32
Loyola Marymount University,A,0.51
Life University,A,0.59
University of Illinois at Chicago,A,0.77
University of Illinois at Urbana-Champaign,A,0.66
Bowdoin College,A,0.15
"University at Albany, SUNY",A,0.56
California State University - East Bay,A,0.74
University of South Florida,A,0.45
Colby College,A,0.23
Hofstra University,A,0.61
University of Oregon,A,0.74
Ringling College of Art & Design,A,0.77
Scripps College,A,0.28
University of New Haven,A,0.82
Temple University,A,0.56
Lake Forest College,A,0.55
University of Hawaii at Hilo,A,0.71
American University,A,0.35
Syracuse University,A,0.48
University of Arizona,A,0.76
American Musical & Dramatic Academy,A,0.22
Johnson & Wales University - Charlotte,A,0.72
San Diego Christian College,A,0.52
Albertus Magnus College,A,0.68
Reed College,A,0.35
San Jose State University,A,0.55
Smith College,A,0.38
Penn State Harrisburg,A,0.85
Kalamazoo College,A,0.72
Santa Fe University of Art and Design,A,1.0
Southwestern Christian University,A,0.48
Coker College,A,0.5
Duke University,A,0.11
University of the Arts,A,0.74
University of the Ozarks,A,0.97
Georgia Institute of Technology,A,0.32
Macalester College,A,0.39
Agnes Scott College,A,0.62
Carleton College,A,0.21
Bacone College,A,0.42
Roosevelt University,A,0.72
University of Maryland - College Park,A,0.45
Saint Edward's University,A,0.77
Musicians Institute,A,0.86
Saint Mary's College of California,A,0.98
Monroe College - Bronx,A,0.45
University of California - Irvine,A,0.39
University of Richmond,A,0.31
University of California - Davis,A,0.38
Seton Hall University,A,0.76
Oral Roberts University,A,0.64
University of Tulsa,A,0.4
Saint Martin's University,A,0.93
University of Nevada - Las Vegas,A,0.88
Marymount Manhattan College,A,0.84
Bennington College,A,0.63
Washington University in St. Louis,A,0.17
North Park University,A,0.49
